,ldr_grau,distance,ldr_weiss,ldr_blau,ldr_gelb,ldr_lila,ldr_gruen,rotation_time,time,date
47476,511.0,33.0,511.0,511.0,356.0,494.0,511.0,678368162.0,13:36:21,2021-06-30
47477,511.0,33.0,511.0,511.0,357.0,494.0,511.0,678368162.0,13:36:22,2021-06-30
47478,511.0,33.0,511.0,511.0,370.0,473.0,511.0,678368162.0,13:36:23,2021-06-30
47479,511.0,33.0,511.0,511.0,377.0,482.0,511.0,678368162.0,13:36:24,2021-06-30
47480,511.0,33.0,511.0,511.0,363.0,501.0,511.0,678368185.0,13:36:25,2021-06-30
47481,511.0,33.0,511.0,511.0,377.0,495.0,511.0,678368185.0,13:36:26,2021-06-30
47482,511.0,33.0,511.0,511.0,388.0,481.0,511.0,678368185.0,13:36:27,2021-06-30
47483,511.0,33.0,511.0,511.0,382.0,500.0,511.0,678368185.0,13:36:28,2021-06-30
40826,511.0,33.0,511.0,511.0,367.0,486.0,511.0,678368185.0,13:36:29,2021-06-30
40828,511.0,33.0,511.0,511.0,354.0,482.0,511.0,678368185.0,13:36:30,2021-06-30
40827,511.0,33.0,511.0,511.0,360.0,482.0,511.0,678368185.0,13:36:31,2021-06-30
40829,511.0,33.0,511.0,511.0,375.0,505.0,511.0,678368185.0,13:36:32,2021-06-30
40830,511.0,33.0,511.0,511.0,375.0,479.0,511.0,678368185.0,13:36:33,2021-06-30
40831,511.0,33.0,511.0,511.0,389.0,478.0,511.0,678368185.0,13:36:34,2021-06-30
40832,511.0,33.0,511.0,511.0,366.0,474.0,511.0,678368185.0,13:36:35,2021-06-30
40833,511.0,33.0,511.0,511.0,372.0,493.0,511.0,678368185.0,13:36:36,2021-06-30
40834,511.0,33.0,511.0,511.0,371.0,496.0,511.0,678368185.0,13:36:37,2021-06-30
40835,511.0,33.0,511.0,511.0,375.0,491.0,511.0,678368185.0,13:36:38,2021-06-30
40836,511.0,33.0,511.0,511.0,362.0,487.0,511.0,678368185.0,13:36:39,2021-06-30
40837,511.0,33.0,511.0,511.0,369.0,499.0,511.0,678368185.0,13:36:40,2021-06-30
40838,511.0,33.0,511.0,511.0,365.0,494.0,511.0,678368185.0,13:36:41,2021-06-30
40839,511.0,33.0,511.0,511.0,367.0,491.0,511.0,678368185.0,13:36:42,2021-06-30
40840,511.0,33.0,511.0,511.0,355.0,492.0,511.0,678368185.0,13:36:43,2021-06-30
40841,511.0,33.0,511.0,511.0,350.0,494.0,511.0,678368185.0,13:36:44,2021-06-30
40842,511.0,33.0,511.0,511.0,373.0,494.0,511.0,678368185.0,13:36:45,2021-06-30
40843,511.0,33.0,511.0,511.0,376.0,488.0,511.0,678368185.0,13:36:46,2021-06-30
40844,511.0,33.0,511.0,511.0,350.0,478.0,511.0,678368185.0,13:36:47,2021-06-30
40845,511.0,33.0,511.0,511.0,376.0,495.0,511.0,678368208.0,13:36:48,2021-06-30
40846,511.0,33.0,511.0,511.0,365.0,502.0,511.0,678368208.0,13:36:49,2021-06-30
40847,511.0,33.0,511.0,511.0,361.0,487.0,511.0,678368208.0,13:36:50,2021-06-30
40848,511.0,33.0,511.0,511.0,365.0,483.0,511.0,678368208.0,13:36:51,2021-06-30
40849,511.0,33.0,511.0,511.0,351.0,482.0,511.0,678368208.0,13:36:52,2021-06-30
40850,511.0,33.0,511.0,511.0,372.0,487.0,511.0,678368208.0,13:36:53,2021-06-30
40851,511.0,33.0,511.0,511.0,379.0,506.0,511.0,678368208.0,13:36:54,2021-06-30
40852,511.0,33.0,511.0,511.0,367.0,474.0,511.0,678368208.0,13:36:55,2021-06-30
40853,511.0,33.0,511.0,511.0,371.0,485.0,511.0,678368208.0,13:36:56,2021-06-30
40854,511.0,33.0,511.0,511.0,370.0,484.0,511.0,678368208.0,13:36:57,2021-06-30
40855,511.0,33.0,511.0,511.0,360.0,495.0,511.0,678368208.0,13:36:58,2021-06-30
50700,511.0,33.0,511.0,511.0,374.0,501.0,511.0,678368208.0,13:36:59,2021-06-30
50701,511.0,33.0,511.0,511.0,359.0,493.0,511.0,678368208.0,13:37:00,2021-06-30
50702,511.0,33.0,511.0,511.0,384.0,488.0,511.0,678368208.0,13:37:01,2021-06-30
50703,511.0,33.0,511.0,511.0,374.0,500.0,511.0,678368208.0,13:37:02,2021-06-30
50704,511.0,33.0,511.0,511.0,385.0,497.0,511.0,678368208.0,13:37:03,2021-06-30
50705,511.0,33.0,511.0,511.0,382.0,511.0,511.0,678368208.0,13:37:04,2021-06-30
50706,511.0,33.0,511.0,511.0,362.0,498.0,511.0,678368208.0,13:37:05,2021-06-30
50707,511.0,33.0,511.0,511.0,370.0,490.0,511.0,678368208.0,13:37:06,2021-06-30
50708,511.0,33.0,511.0,511.0,391.0,503.0,511.0,678368208.0,13:37:07,2021-06-30
50709,511.0,33.0,511.0,511.0,378.0,499.0,511.0,678368208.0,13:37:08,2021-06-30
50710,511.0,33.0,511.0,511.0,364.0,502.0,511.0,678368208.0,13:37:09,2021-06-30
50711,511.0,33.0,511.0,511.0,393.0,502.0,511.0,678368208.0,13:37:10,2021-06-30
